#0
fun, crew, great, lot, place, people, get, go, fuck, little, friendly, pretty, want, amazing, thing, couple, wait, surface, work, day, way, hour, try, know, need, right, busy, especially, ask, good, come, service, have, night, sit, like, food, fluffiness, review, parties, stop, high, free, carelessness, location, add, meal, new, customer, buy, area, tuesday, guy, road, money, saturday, flour, maybe, door, save, chicken, vegas, screw, live, star, beef, lucky, tequila, group, wish, flat, important, major, extra, fajitas, limo, chip, atmosphere, help, yesterday, half, today, friday, ride, taco, street, stand, correct, entrance, easy, husband, phone, lazy, nachos, bachelor, birthday, tire, hire, best, strip
doubt, luckily, whiskey, politely, smashburger, sit, way, try, think, pretty, start, good, thing, go, friend, order, bad, couple, big, place, people, say, want, see, enjoy, expect, walk, wait, table, let, work, lot, nice, right, love, hear, maybe, ask, like, serve, seat, come, quality, oh, night, use, mind, little, run, food, area, meal, location, fry, yes, menu, away, cheese, sign, ahead, option, problem, door, prefer, honestly, appear, hand, sorry, complaint, number, mcdonalds, booth, burger, odd, single, read, fact, sweet, note, help, price, locate, young, server, bag, chain, man, arrive, cream, tell, limited, dog, flavor, glad, dinner, register, product, woman, minute, taste

#327
press, sam, alert, patrol, imaginary, feel, elixir, cleanses, veritable, sundry, great, favorite, staff, pay, time, place, good, service, amazing, ask, come, need, location, away, work, perfect, fun, drink, small, server, return, give, like, sample, family, say, shop, meal, awesome, local, hip, stop, man, evening, seriously, burger, beer, chill, super, street, coffee, wife, price, beet, bar, happy, hell, salad, benefit, let, late, car, know, cook, home, add, half, water, minute, immediately, entire, juicy, consider, light, spirit, river, wo, difficult, whip, organic, key, taste, outside, ice, bring, tough, cream, want, vibe, juice, pizza, health, trust, cold, convenient, fair, check, look, wait, face

#328
perfect, blend, delicious, right, day, thanksgiving, dinner, can, make, favorite, pleasing, friend, love, feel, worth, work, little, good, friendly, end, visit, restaurant, expect, give, different, eat, food, want, mariachi, adovada, sit, place, like, price, say, sweet, ask, tops, choose, tell, away, fresh, composition, sauce, meal, order, home, have, wait, take, include, flavor, night, dessert, new, house, piza, oh, family, time, realize, beef, atmosphere, red, live, sized, mexican, experience, rave, cheese, pork, light, dish, outside, star, wall, decor, high, tommy, cuisine, blow, server, decision, vegas, mom, bar, chef, mean, carne, green, yummy, cookie, tamale, las, veggie, know, corn, meat, spice, spicy

#329
middle, paris, nightclub, right, smack, bally, like, way, handicap, lot, walk, overall, people, dab, omnia, get, need, eat, go, long, friend, intersection, day, sure, experience, pretty, definitely, ferris, good, especially, place, feel, great, time, have, look, check, table, away, come, clean, free, strip, room, casino, friendly, floor, hotel, street, know, self, offer, location, food, keep, spot, parking, corner, service, money, view, valet, park, instead, linq, saturday, bellagio, past, weekend, shopping, wheel, turn, drive, exciting, super, straight, total, willing, garage, pack, surprised, available, evening, easy, beef, fantastic, rest, diamond, wednesday, cigarette, elevator, luckily, smell, help, delicious, regular, court, slow, particularly, sushi

#330
enter, sexy, bulgogi, portobello, kbbq, lookout, luxe, toro, definitely, little, grime, goth, speakeasy, start, thing, place, recommend, enjoy, love, try, restaurant, friendly, get, hear, table, amazing, great, look, away, antler, pretty, delicious, time, good, review, hour, like, heroin, food, exremely, beef, service, meal, happy, black, welcome, location, greet, want, bar, high, right, decor, highly, door, offer, able, read, night, area, rock, think, extremely, walk, later, take, yummy, tuck, limit, space, morning, step, dark, mention, slice, section, stripper, flat, fried, healthy, drunken, menu, band, chicken, price, cocktail, immediately, stupor, paradise, pole, hide, say, couch, previous, pup, overall, lot, call, attentive, job

#331
view, great, nice, good, enjoy, unorganized, battle, sit, time, worth, service, sure, drink, place, take, look, come, clean, go, start, strip, visit, can, busy, day, pay, interfere, give, hour, little, away, need, far, let, want, spend, leave, wish, watch, review, happen, new, kind, special, extremely, later, figure, thing, job, year, point, choice, arrive, final, relax, money, sweet, copy, better, week, house, lady, slow, despite, city, heat, yelp, hopefully, talk, offer, today, furniture, right, drop, min, party, notice, say, speak, agree, call, receive, tell, note, guy, return, friday, ask, burn, cut, normally, pleasant, online, hot, nancy, forget, young, confirm, problem, shoe

#332
describe, semi, charm, petite, ellis, mislead, pablo, picasso, mean, mascara, look, like, good, away, lot, think, go, definitely, experience, food, get, day, feel, time, maybe, leave, come, little, thing, price, choice, service, try, recommend, place, hand, offer, order, hour, dinner, steak, special, point, deal, spot, give, base, cheap, island, run, drink, pretty, sleep, vegas, mood, serve, local, salad, locate, eye, completely, cost, extra, set, review, potato, casino, club, entire, lash, pizza, low, mention, amazing, cab, beer, dark, natural, description, pasta, atmosphere, surprisingly, yes, right, toast, practically, respect, live, egg, overall, strip, groupon, near, drunk, ago, cheese, fair, purchase, permanent, alfredo

#333
classy, strongly, preparation, recommend, ra, rap, clean, experience, restaurant, staff, dinner, walk, friendly, go, definitely, lot, friend, need, desired, eat, good, way, food, bring, night, worth, week, fresh, table, atmosphere, people, knowledgeable, later, give, room, entire, vegas, relaxed, get, husband, yelp, tell, seat, overly, cream, stay, review, steak, awesome, free, rush, fun, right, attentive, check, bar, ice, las, sushi, minute, point, hotel, fine, work, facility, pretty, pour, call, silly, actually, book, arrive, star, mon, bread, gnocchi, special, red, ri, café, reservation, open, conference, gluten, update, like, ecxellent, mention, professional, rudely, great, think, nice, irishmen, square, middle, spot, mix, le, pay

#334
hit, consider, decent, pretty, overall, price, long, expect, think, food, worth, actually, dinner, visit, place, want, good, come, great, eat, huge, service, drink, try, home, friend, serve, see, favorite, day, look, table, take, lapse, amazing, delicious, recommend, get, far, free, small, wait, person, love, hard, review, bar, beer, chicken, list, tasty, awesome, order, star, cool, option, chorizo, tv, brew, slow, gluten, cup, tiny, water, know, sit, sip, soup, atmosphere, store, conversation, grab, family, bonus, pizza, crust, doughy, happy, taste, reach, completely, man, walk, milk, impossible, size, mite, ask, section, definitely, wood, tell, relaxed, greasy, better, crowd, miss, able, squirrel, update

#335
near, lie, mother, exact, think, loyalty, thing, little, place, big, try, like, go, good, time, come, eat, call, service, customer, pretty, food, wait, recommend, sok, location, great, chon, quick, drive, cheap, awesome, fry, wrong, unlv, min, apologize, spring, eye, juicy, highly, lady, pricey, register, mountain, concrete, bacon, burger, djk, busy, menu, friendly, staff, delicious, amazing, hidden, cheese, naan, afraid, staffers, aand, teaspresso, depthness, pannini, loveeeeeee, pocketsizedelle, shet, setiing, aquired, clubber, kalologie, definalty, optimize, coif, cescon, soufflet, whaaaaa, correlation, narai, pickier, interrior, totter, clobber, eq, arounds, gua, basalmic, mazatlan, artiste, hamdulila, schrewd, trival, bates, dippa, brandie, asymmetry, ramma, corodisone, picka, herbally

#336
event, calzones, thing, people, fundraiser, great, work, day, good, go, friend, favorite, can, feel, need, way, love, drink, like, pretty, bad, far, get, come, expect, wait, want, large, bar, head, time, menu, kind, try, maybe, oh, month, know, open, music, hour, community, guy, place, night, make, object, review, local, support, attentive, fact, bowl, usually, weekend, pizza, read, problem, bite, saturday, grab, bond, bartender, shoe, longer, eat, issue, point, company, disappointed, business, stick, order, common, tgi, spring, tea, guarantee, absolutely, club, tell, foot, ask, sum, generally, rock, bourbon, receipt, pour, lane, size, little, high, sandwich, sit, catch, waitress, customer, leave, let

#337
old, look, feel, day, like, place, come, good, wisconsin, visit, think, people, bad, great, time, fashioned, mean, couple, say, texted, get, home, go, price, give, slush, brandy, know, judgement, joseph, pretty, right, scenario, experience, long, friend, staff, love, open, thing, sure, hotspot, especially, benjamin, nice, marilyn, uw, definitely, taqueria, stop, freaky, food, wait, guadalajara, eat, call, ask, probably, end, work, lawd, sprinkles, delicious, sopes, franklin, obama, try, optic, let, hdmi, need, pay, deduction, review, friendly, fright, bonding, drink, small, bring, short, jfk, new, leave, tell, town, high, head, run, can, wish, service, night, sauce, large, cheese, sweet, taste, light, star

#338
basic, remove, indicate, university, painless, odor, alarm, patrick, continental, experience, clean, wiper, bad, nice, good, tell, thing, friendly, go, staff, walk, like, different, want, review, try, price, place, free, location, minute, breakfast, reasonable, room, early, change, quickly, interior, cost, oil, potato, phoenix, wash, sell, typical, decorate, bird, filter, hotel, call, kitchen, manager, fluid, switch, toast, special, distance, white, eye, usually, french, attentive, problem, professional, bacon, egg, broken, stadium, sooo, top, throughtout, heathers, clubber, laing, mumus, unpredictability, kalologie, depthness, aquired, pannini, teaspresso, pocketsizedelle, whaaaaa, loveeeeeee, optimize, spammed, setiing, staffers, mazatlan, basalmic, hamdulila, advisability, gua, taisting, soufflet, dissappered, magnifier, spadoni, definalty, fatouche

#339
mango, freshly, stew, delicious, try, definitely, papaya, favorite, eat, bit, time, food, little, restaurant, right, nice, good, serve, enjoy, visit, big, thing, fresh, pretty, friendly, couple, day, come, get, dinner, love, think, sit, place, lao, service, home, like, great, stop, staff, worth, people, bad, matar, mean, taste, menu, away, go, check, hot, fan, salad, ask, town, leave, take, meal, wait, perfect, dish, awesome, finish, remember, oh, see, green, bring, bar, friend, dessert, decor, tasty, point, course, quick, happy, drink, way, need, owner, quality, area, want, mention, deal, fun, hour, spend, lunch, miss, cheap, new, super, outside, location, die, know, item

#340
asymmetry, bouqin, nevarez, markes, wintertime, ramma, pickier, artiste, coif, arounds, shet, teardown, taramisu, cescon, aand, definalty, fatouche, setiing, whaaaaa, pocketsizedelle, teaspresso, pannini, réchauffer, aquired, gris, outkast, definataly, hairbrush, bosser, ciboulette, gâche, prêtes, moyennant, chouchouté, fabby, réussie, phô, caresser, bef, toyama, payton, tgifriday, rasputin, rollatini, orrechiette, kamikazi, kilauea, blazer, depthness, loveeeeeee, clubber, aquatinis, danmar, swgas, rly, merengue, jouce, jageer, gratifying, squelch, konves, auhgraten, medwell, overrall, knw, stork, munster, armless, caption, flirting, karly, brandie, cuttwood, colposcopy, haydee, chalant, kalologie, optimize, staffers, laing, mumus, dissappered, soufflet, interrior, correlation, herbally, redkins, corodisone, trival, schrewd, narai, eq, clobber, totter, bouse, tonopah, quartzsite, ayyam, bates, macmedia

#341
rate, tank, rise, upside, hooter, copious, bad, audi, year, worth, staff, work, experience, place, open, come, take, stay, review, bring, love, check, hard, turn, old, great, low, job, happy, base, food, business, black, month, price, glad, especially, imagine, hate, serve, hope, past, model, home, wear, buffalo, drive, young, amount, top, write, support, lady, groom, smell, local, skip, cut, crazy, ugh, tight, comfortable, puppy, chip, chesty, bbq, thank, shack, jean, yesterday, fluffy, soft, winnie, goldendoodle, dippa, trival, brandie, coif, asymmetry, ramma, pickier, artiste, picka, bates, hamdulila, spadoni, mazatlan, basalmic, gua, magnifier, narai, unpredictability, taisting, unroll, eq, cescon, teardown, arounds, schrewd, shet
